pair_id,pair_type,side,Arms_set,deg_set,beta_deg,id_A,iq_A,is_rated,point_role
122,mirror,regen,77.7282,248.1986,111.8014,-125.0,-50.0,False,dense_cartesian
123,mirror,motoring,64.5497,-63.4349,63.4349,-100.0,50.0,False,dense_cartesian
123,mirror,regen,64.5497,243.4349,116.5651,-100.0,-50.0,False,dense_cartesian
124,mirror,motoring,52.0416,-56.3099,56.3099,-75.0,50.0,False,dense_cartesian
124,mirror,regen,52.0416,236.3099,123.6901,-75.0,-50.0,False,dense_cartesian
125,mirror,motoring,40.8248,-45.0,45.0,-50.0,50.0,False,dense_cartesian
125,mirror,regen,40.8248,225.0,135.0,-50.0,-50.0,False,dense_cartesian
126,mirror,motoring,32.2749,-26.5651,26.5651,-25.0,50.0,False,dense_cartesian
126,mirror,regen,32.2749,206.5651,153.4349,-25.0,-50.0,False,dense_cartesian
127,mirror,motoring,28.8675,0.0,0.0,0.0,50.0,False,dense_cartesian
127,mirror,regen,28.8675,180.0,180.0,0.0,-50.0,False,dense_cartesian
128,mirror,motoring,32.2749,26.5651,-26.5651,25.0,50.0,False,dense_cartesian
128,mirror,regen,32.2749,153.4349,206.5651,25.0,-50.0,False,dense_cartesian
129,mirror,motoring,40.8248,45.0,-45.0,50.0,50.0,False,dense_cartesian
129,mirror,regen,40.8248,135.0,225.0,50.0,-50.0,False,dense_cartesian
130,mirror,motoring,52.0416,56.3099,-56.3099,75.0,50.0,False,dense_cartesian
130,mirror,regen,52.0416,123.6901,236.3099,75.0,-50.0,False,dense_cartesian
131,mirror,motoring,64.5497,63.4349,-63.4349,100.0,50.0,False,dense_cartesian
131,mirror,regen,64.5497,116.5651,243.4349,100.0,-50.0,False,dense_cartesian
132,mirror,motoring,77.7282,68.1986,-68.1986,125.0,50.0,False,dense_cartesian
132,mirror,regen,77.7282,111.8014,248.1986,125.0,-50.0,False,dense_cartesian
133,mirror,motoring,91.2871,71.5651,-71.5651,150.0,50.0,False,dense_cartesian
133,mirror,regen,91.2871,108.4349,251.5651,150.0,-50.0,False,dense_cartesian
134,mirror,motoring,105.0793,74.0546,-74.0546,175.0,50.0,False,dense_cartesian
134,mirror,regen,105.0793,105.9454,254.0546,175.0,-50.0,False,dense_cartesian
135,mirror,motoring,119.0238,75.9638,-75.9638,200.0,50.0,False,dense_cartesian
135,mirror,regen,119.0238,104.0362,255.9638,200.0,-50.0,False,dense_cartesian
136,mirror,motoring,133.0727,77.4712,-77.4712,225.0,50.0,False,dense_cartesian
136,mirror,regen,133.0727,102.5288,257.4712,225.0,-50.0,False,dense_cartesian
137,mirror,motoring,147.196,78.6901,-78.6901,250.0,50.0,False,dense_cartesian
137,mirror,regen,147.196,101.3099,258.6901,250.0,-50.0,False,dense_cartesian
138,mirror,motoring,161.3743,79.6952,-79.6952,275.0,50.0,False,dense_cartesian
138,mirror,regen,161.3743,100.3048,259.6952,275.0,-50.0,False,dense_cartesian
139,mirror,motoring,175.5942,80.5377,-80.5377,300.0,50.0,False,dense_cartesian
139,mirror,regen,175.5942,99.4623,260.5377,300.0,-50.0,False,dense_cartesian
140,mirror,motoring,189.8464,81.2538,-81.2538,325.0,50.0,False,dense_cartesian
140,mirror,regen,189.8464,98.7462,261.2538,325.0,-50.0,False,dense_cartesian
141,mirror,motoring,204.1241,81.8699,-81.8699,350.0,50.0,False,dense_cartesian
141,mirror,regen,204.1241,98.1301,261.8699,350.0,-50.0,False,dense_cartesian
142,mirror,motoring,218.4224,82.4054,-82.4054,375.0,50.0,False,dense_cartesian
